uniqueId,date,name,school,type,rating,tuition_fee,acceptance_rate
134289269039184,2022-11-05,CS6382,Caltech,Stem,3,16700,74.05
134289269032080,2022-12-10,CS6332,Caltech,Stem,1,15082,72.91
134289269032128,2022-11-12,LAW342,Wharton,non-Stem,4,23427,
134289269032176,2022-12-13,CS4382,Caltech,Stem,2,27462,87.13
134289269032320,2022-05-30,LAW302,Wharton,non-Stem,2,29522,86.51
134289269032368,2022-10-18,CS6382,Caltech,Stem,,16310,
134289269032416,2022-10-07,MAN6382,Yale,non-Stem,2,24060,60.45
134289269032464,2022-10-05,LAW342,Wharton,non-Stem,2,22130,72.55
134289269032512,2022-09-19,LAW342,Wharton,non-Stem,1,20409,75.03
134289269032560,2022-10-29,CS6382,Caltech,Stem,3,29093,61.11
134289269032608,2022-09-20,MAN4382,Yale,non-Stem,2,17274,85.16
134289269032656,2022-10-01,CS6332,Caltech,Stem,2,20111,90.56
134289269032704,2022-12-10,CS6382,Caltech,Stem,1,24276,73.65
134289269032752,2022-12-16,MAN4382,Yale,non-Stem,2,18244,97.86
134289269032800,2022-12-20,LAW342,Wharton,non-Stem,3,17014,70.33
134289269032848,2022-10-13,MAN6332,Yale,non-Stem,1,28437,81.28
134289269032896,2022-12-07,CS4382,Caltech,Stem,1,27011,78.52
134289269032944,2022-10-04,MAN6382,Yale,non-Stem,2,19111,60.14
134289269032992,2022-09-11,MAN4382,Yale,non-Stem,1,23601,80.44
134289269033040,2022-09-28,LAW342,Wharton,non-Stem,1,19915,62.79
134289269033232,2022-10-17,CS4382,Caltech,Stem,1,26567,72.5
134289269033280,2022-06-23,MAN6332,Yale,non-Stem,2,15678,78.46
134289269033328,2022-06-02,MAN6332,Yale,non-Stem,2,19826,83.3
134289269033376,,CS4382,Caltech,Stem,2,27428,90.02
134289269033424,2022-08-15,MAN6382,Yale,non-Stem,2,15435,92.78
134289269033472,2022-12-13,MAN4382,Yale,non-Stem,2,20887,68.75
134289269033520,2022-10-06,MAN6332,Yale,non-Stem,3,24546,72.33
134289269033568,2022-12-16,MAN4382,Yale,non-Stem,2,23650,
134289269033616,2022-12-23,CS4382,Caltech,Stem,1,18559,87.82
134289269033664,2022-12-12,CS4382,Caltech,Stem,1,22706,65.32
134289269033712,2022-10-22,MAN6382,Yale,non-Stem,2,25129,74.4
134289269033760,2022-08-11,LAW102,Wharton,non-Stem,2,19975,91.47
134289269033808,2022-12-26,CS6332,Caltech,Stem,3,19845,78.35
134289269033856,2022-11-13,CS6332,Caltech,Stem,1,18645,86.08
134289269033904,2022-11-14,MAN6382,Yale,non-Stem,1,26697,79.97
134289269033952,2022-09-04,MAN6382,Yale,non-Stem,3,22235,70.48
134289269034000,2022-09-22,LAW302,Wharton,non-Stem,4,26772,70.44
134289269034048,2022-09-20,MAN6382,Yale,non-Stem,1,20357,90.32
134289269034096,2022-11-27,MAN6332,Yale,non-Stem,1,21473,89.07
134289269034144,2022-08-06,CS6332,Caltech,Stem,2,17335,73.85
134289269034192,2022-06-12,MAN4382,Yale,non-Stem,2,26328,90.55
134289269034240,2022-11-16,MAN4382,Yale,non-Stem,2,22188,66.85
134289269034288,2022-10-23,CS6332,Caltech,Stem,,,80.6
134289269034336,2022-05-07,MAN4382,Yale,non-Stem,2,29247,92.83
134289269034384,,MAN6382,Yale,non-Stem,1,17627,91.22
134289269034432,2022-04-23,MAN6332,Yale,non-Stem,2,21368,
134289269034480,2022-10-11,MAN6382,Yale,non-Stem,3,19495,74.9
134289269034528,2022-06-24,CS6332,Caltech,Stem,3,21588,73.96
134289269034576,,CS4382,Caltech,Stem,1,27500,79.85
134289269034624,2022-11-18,CS6382,Caltech,Stem,2,18240,69.81
134289269034672,2022-09-03,MAN4382,Yale,non-Stem,3,19904,64.88
134289269034720,2022-10-03,CS6382,Caltech,Stem,3,23107,67.31
134289269035248,2022-12-07,MAN6382,Yale,non-Stem,3,26457,76.3
134289269035296,2022-11-29,MAN4382,Yale,non-Stem,2,18368,84.11
134289269035344,2022-08-09,LAW342,Wharton,non-Stem,2,23109,97.75
134289269035392,2022-10-31,CS6382,Caltech,Stem,1,15467,70.59
134289269036064,2022-12-11,CS4382,Caltech,Stem,2,23181,80.4
134289269036448,2022-11-15,CS6382,Caltech,Stem,2,24263,93.8
134289269036496,,MAN6382,Yale,non-Stem,1,27288,83.19
134289269036544,2022-08-20,CS6332,Caltech,Stem,2,26240,61.89
134289269036592,2022-12-08,LAW342,Wharton,non-Stem,2,23159,71.32
134289269036304,2022-11-03,CS6382,Caltech,Stem,1,27229,86.08
134289269036400,2022-05-23,LAW302,Wharton,non-Stem,2,23128,77.52
134289269036256,2022-10-07,LAW102,Wharton,non-Stem,1,21596,76.15
134289269036160,2022-07-13,LAW342,Wharton,non-Stem,1,17857,85.06
134289269036208,2022-11-14,LAW302,Wharton,non-Stem,3,20119,82.44
134289269037696,2022-07-30,LAW342,Wharton,non-Stem,2,26825,96.36
134289269037840,2022-12-23,CS6382,Caltech,Stem,2,28676,62.05
134289269037792,2022-10-23,MAN4382,Yale,non-Stem,1,26944,93.24
134289269037744,2022-10-23,LAW302,Wharton,non-Stem,1,20135,82.72
134289269038080,2022-04-13,LAW342,Wharton,non-Stem,1,22918,
134289269036928,2022-12-14,LAW342,Wharton,non-Stem,2,16615,
134289269037072,2022-12-20,LAW342,Wharton,non-Stem,1,20182,79.94
134289269037312,2022-03-11,LAW102,Wharton,non-Stem,3,,67.84
134289269036832,2022-10-25,MAN6382,Yale,non-Stem,1,17380,75.83
134289269036880,2022-08-23,LAW102,Wharton,non-Stem,2,25079,75.89
134289269037984,2022-11-04,MAN6332,Yale,non-Stem,2,22154,96.98
134289269036976,2022-02-21,LAW342,Wharton,non-Stem,2,24299,83.44
134289269037024,2022-07-16,MAN4382,Yale,non-Stem,2,19724,87.38
134289269036736,2022-12-17,LAW102,Wharton,non-Stem,4,23083,87.05
134289269037120,2022-10-22,CS6332,Caltech,Stem,1,23607,76.71
134289269037408,2022-07-07,MAN6382,Yale,non-Stem,1,24663,62.61
134289269037456,2022-11-02,CS6332,Caltech,Stem,1,21146,78.12
134289269037504,2022-12-16,CS6382,Caltech,Stem,1,28595,83.97
134289269038368,2022-08-12,MAN6382,Yale,non-Stem,1,26279,65.29
134289269038416,2022-09-25,CS6382,Caltech,Stem,4,26702,87.25
134289269038464,2022-12-05,LAW302,Wharton,non-Stem,4,20237,69.92
134289269038512,2022-10-22,CS4382,Caltech,Stem,,25182,91.52
134289269038704,2022-05-12,CS6332,Caltech,Stem,2,21450,85.66
134289269038752,2022-11-22,LAW342,Wharton,non-Stem,2,22256,73.19
134289269038800,2022-08-02,CS6382,Caltech,Stem,2,17191,78.4
134289269038848,2022-07-13,LAW302,Wharton,non-Stem,2,22275,79.92
134289269038896,2022-12-31,LAW102,Wharton,non-Stem,2,28412,95.37
134289269038944,2022-11-30,CS4382,Caltech,Stem,1,21978,84.9
134289269038992,2022-12-18,MAN6332,Yale,non-Stem,2,20935,93.43
134289269039040,2022-12-03,LAW302,Wharton,non-Stem,2,21764,71.76
134289269039088,2022-11-13,CS4382,Caltech,Stem,2,23751,85.17
134289269039136,2022-07-16,CS6332,Caltech,Stem,2,15575,97.62
134289269039376,2022-10-04,MAN4382,Yale,non-Stem,3,23465,72.87
134289269040048,2022-10-13,CS6332,Caltech,Stem,2,19159,74.48
134289269040000,2022-09-21,MAN6332,Yale,non-Stem,2,20918,69.58
134289269039952,2022-08-18,LAW342,Wharton,non-Stem,1,23777,71.63
134289269039904,2022-12-27,CS6382,Caltech,Stem,3,15379,76.38
134289269039856,2022-05-23,CS6332,Caltech,Stem,3,22293,85.26
134289269039712,2022-12-25,LAW302,Wharton,non-Stem,2,23443,82.9
134289269039664,2022-10-23,LAW102,Wharton,non-Stem,1,23377,60.02
134289269039616,2022-03-08,LAW102,Wharton,non-Stem,1,28001,
134289269039568,2022-12-03,MAN4382,Yale,non-Stem,1,23488,81.47
134289269039520,2022-09-10,CS6332,Caltech,Stem,1,18396,78.5
134289269039472,2022-04-14,LAW342,Wharton,non-Stem,1,21094,90.09
134289269039424,2022-12-13,LAW342,Wharton,non-Stem,1,25240,79.42
134289269035200,2022-11-15,CS4382,Caltech,Stem,2,16311,91.64
134289269035152,2022-10-15,LAW342,Wharton,non-Stem,2,18154,70.52
134289269035104,2022-06-11,MAN6332,Yale,non-Stem,3,19263,67.52
134289269035056,2022-12-19,LAW102,Wharton,non-Stem,2,26368,77.57
134289269035008,2022-12-18,MAN4382,Yale,non-Stem,1,26530,80.35
134289269034912,2022-10-25,CS4382,Caltech,Stem,3,23810,68.03
134289269034864,2022-12-30,CS6332,Caltech,Stem,1,20334,94.91
134289269033088,2022-12-11,MAN6332,Yale,non-Stem,1,19551,
134289269031216,2022-12-13,CS4382,Caltech,Stem,1,29604,84.32
134289269040576,2022-06-04,LAW102,Wharton,non-Stem,2,23037,71.5
134289269040624,2022-07-10,LAW102,Wharton,non-Stem,2,,
134289269040672,2022-10-16,MAN6382,Yale,non-Stem,2,16020,94.57
134289269040720,2022-11-20,LAW342,Wharton,non-Stem,4,23981,86.15
134289269040768,2022-11-26,LAW342,Wharton,non-Stem,2,18555,74.28
134289269040816,2022-09-11,LAW302,Wharton,non-Stem,,19520,83.16
134289269040864,2022-11-07,CS6382,Caltech,Stem,2,22917,82.25
134289269040912,2022-11-17,LAW102,Wharton,non-Stem,1,27234,78.93
134289269040960,2022-08-23,LAW342,Wharton,non-Stem,2,25540,78.07
134289269041008,2022-09-22,LAW342,Wharton,non-Stem,2,28503,82.12
134289269041056,2022-11-04,LAW302,Wharton,non-Stem,2,,73.49
134289269041104,2022-11-30,LAW342,Wharton,non-Stem,3,26243,80.46
134289269041152,2022-11-19,MAN6382,Yale,non-Stem,3,24581,77.04
134289269041200,2022-12-21,MAN6382,Yale,non-Stem,2,26213,81.81
134289269041248,2022-08-16,LAW102,Wharton,non-Stem,1,22916,93.04
134289269041296,,CS4382,Caltech,Stem,1,,78.14
134289269041344,2022-07-02,MAN6382,Yale,non-Stem,2,28944,97.73
134289269041392,2022-10-18,LAW342,Wharton,non-Stem,2,17996,92.11
134289269041440,2022-11-20,CS4382,Caltech,Stem,1,,81.51
134289269041488,2022-12-04,LAW342,Wharton,non-Stem,4,24383,81.2
134289269041536,2022-11-25,LAW342,Wharton,non-Stem,1,27723,91.61
134289269041584,2022-11-19,LAW302,Wharton,non-Stem,1,20590,89.81
134289269041632,2022-10-07,LAW102,Wharton,non-Stem,2,21678,79.45
134289269041680,2022-12-09,CS4382,Caltech,Stem,1,19425,79.48
134289269041728,2022-11-17,MAN6382,Yale,non-Stem,3,17088,72.18
134289269041776,,CS6382,Caltech,Stem,2,23019,
134289269041824,2022-12-18,LAW342,Wharton,non-Stem,4,21787,87.1
134289269041872,2022-09-12,LAW342,Wharton,non-Stem,3,20275,74.96
134289269041920,2022-11-12,MAN6332,Yale,non-Stem,3,20509,86.87
134289269041968,2022-10-08,LAW302,Wharton,non-Stem,3,27037,
134289269042016,2022-08-23,LAW302,Wharton,non-Stem,2,,89.53
134289269042064,2022-10-20,LAW302,Wharton,non-Stem,3,15843,90.81
134289269042112,2022-08-25,LAW342,Wharton,non-Stem,3,23335,78.65
134289269042160,2022-10-01,LAW102,Wharton,non-Stem,2,22510,69.83
134289269042208,2022-07-30,LAW102,Wharton,non-Stem,1,23094,61.6
134289269042256,2022-09-20,MAN4382,Yale,non-Stem,3,21311,98.07
134289269042304,2022-08-01,CS6382,Caltech,Stem,1,22533,61.43
134289269042352,2022-09-07,LAW342,Wharton,non-Stem,2,25984,87.34
134289269042400,,MAN6382,Yale,non-Stem,1,22132,70.82
134289269042448,2022-11-16,LAW102,Wharton,non-Stem,1,28379,69.17
134289269042496,2022-12-18,LAW102,Wharton,non-Stem,1,18552,76.6
134289269042544,,CS4382,Caltech,Stem,3,25044,76.49
134289269042592,2022-10-01,MAN6332,Yale,non-Stem,,25252,76.54
134289269042640,2022-10-22,CS4382,Caltech,Stem,,23223,81.46
134289269042688,2022-12-08,MAN6332,Yale,non-Stem,,19672,94.25
134289269042736,2022-11-14,MAN6382,Yale,non-Stem,2,19213,76.88
134289269042784,2022-12-27,MAN6332,Yale,non-Stem,1,23489,81.73
134289269042832,2022-11-19,MAN4382,Yale,non-Stem,1,19451,94.49
134289269042880,2022-08-13,LAW102,Wharton,non-Stem,1,,
134289269042928,2022-10-08,MAN6332,Yale,non-Stem,2,24017,87.73
134289269042976,2022-12-17,MAN4382,Yale,non-Stem,3,16594,85.9
134289269043024,,MAN4382,Yale,non-Stem,1,24848,92.24
134289269043072,2022-10-31,LAW342,Wharton,non-Stem,1,28709,82.82
134289269043120,2022-12-19,MAN4382,Yale,non-Stem,3,24302,88.69
134289269043168,2022-11-09,MAN6332,Yale,non-Stem,2,21776,85.22
134289269043216,2022-08-10,LAW342,Wharton,non-Stem,3,25310,
134289269043264,2022-04-27,MAN4382,Yale,non-Stem,2,20385,81.79
134289269043312,2022-11-14,MAN6382,Yale,non-Stem,1,20963,73.6
134289269043360,2022-10-05,MAN6382,Yale,non-Stem,2,26597,
134289269043408,2022-09-10,MAN6382,Yale,non-Stem,2,17378,78.1
134289269043456,2022-09-16,CS6382,Caltech,Stem,2,18742,83.01
134289269043504,2022-06-08,CS4382,Caltech,Stem,2,,74.7
134289269043552,2022-12-15,LAW302,Wharton,non-Stem,2,22342,71.55
134289269043600,2022-12-08,MAN6382,Yale,non-Stem,2,18409,74.09
134289269043648,2022-11-20,CS6332,Caltech,Stem,3,23178,85.18
134289269043696,2022-09-06,LAW102,Wharton,non-Stem,2,25460,92.88
134289269043744,2022-09-26,LAW342,Wharton,non-Stem,3,25404,81.82
134289269043792,2022-09-21,LAW302,Wharton,non-Stem,2,25402,83.13
134289269043840,2022-12-16,MAN6332,Yale,non-Stem,1,24487,76.09
134289269043888,2022-12-02,CS6382,Caltech,Stem,1,21561,82.17
134289269043936,2022-12-28,MAN6382,Yale,non-Stem,2,27211,93.72
134289269043984,2022-11-06,LAW302,Wharton,non-Stem,1,23445,69.17
134289269044032,2022-08-02,MAN6382,Yale,non-Stem,,21234,92.65
134289269044080,2022-12-06,LAW102,Wharton,non-Stem,3,23485,99.55
134289269044128,2022-11-21,CS6332,Caltech,Stem,2,18837,76.19
134289269044176,2022-10-06,MAN6332,Yale,non-Stem,3,25254,
134289269044224,2022-11-29,MAN6332,Yale,non-Stem,2,27320,67.42
134289269044272,2022-10-01,LAW102,Wharton,non-Stem,2,22963,78.26
134289269044320,2022-06-04,CS4382,Caltech,Stem,2,27675,86.3
134289269044368,2022-12-27,MAN4382,Yale,non-Stem,,24762,95.96
134289269044416,2022-11-03,MAN4382,Yale,non-Stem,1,21490,
134289269044464,2022-06-01,CS6382,Caltech,Stem,1,23093,65.0
134289269044512,2022-12-18,MAN4382,Yale,non-Stem,2,24409,79.98
134289269044560,2022-07-21,MAN6382,Yale,non-Stem,2,19431,75.12
134289269044608,2022-12-28,MAN6382,Yale,non-Stem,,25344,90.47
134289269044656,2022-09-16,CS4382,Caltech,Stem,3,26575,78.52
134289269044704,2022-08-22,MAN4382,Yale,non-Stem,1,19961,66.79
134289269044752,2022-06-19,MAN6332,Yale,non-Stem,,20015,74.63
134289269044800,2022-04-29,MAN6382,Yale,non-Stem,2,20401,78.82
134289269044848,2022-11-29,CS4382,Caltech,Stem,1,18405,81.28
134289269044896,2022-08-05,CS6332,Caltech,Stem,2,23490,91.46
134289269044944,2022-09-21,CS6382,Caltech,Stem,3,27295,86.78
134289269044992,2022-08-30,MAN6332,Yale,non-Stem,1,19016,71.57
134289269045040,2022-07-10,MAN6382,Yale,non-Stem,1,26163,90.7
134289269045088,2022-10-28,CS6332,Caltech,Stem,3,26366,72.49
134289269045136,2022-12-09,LAW302,Wharton,non-Stem,1,16864,94.49
134289269045184,2022-12-21,CS6382,Caltech,Stem,3,26586,88.12
134289269045232,2022-08-28,CS6382,Caltech,Stem,3,28015,72.37
134289269045280,2022-07-27,MAN4382,Yale,non-Stem,1,24600,70.49
134289269045328,2022-09-18,LAW302,Wharton,non-Stem,3,26164,98.99
134289269045376,2022-11-28,MAN6382,Yale,non-Stem,1,26828,69.73
134289269045424,2022-03-25,MAN4382,Yale,non-Stem,2,24155,80.32
134289269045472,,CS6332,Caltech,Stem,2,20523,77.43
134289269045520,2022-10-26,CS4382,Caltech,Stem,1,19607,65.41
134289269045568,2022-12-09,CS6382,Caltech,Stem,1,25112,94.91
134289269045616,2022-12-31,CS6332,Caltech,Stem,4,23919,78.12
134289269045664,2022-09-10,MAN4382,Yale,non-Stem,2,17238,86.55
134289269045712,2022-12-25,MAN6382,Yale,non-Stem,3,27737,
134289269045760,2022-08-06,CS6382,Caltech,Stem,,23860,84.22
134289269045808,2022-11-19,MAN6332,Yale,non-Stem,2,19962,61.66
134289269045856,2022-06-19,LAW342,Wharton,non-Stem,1,15705,87.51
134289269045904,2022-09-25,MAN4382,Yale,non-Stem,2,,90.38
134289269045952,2022-11-20,MAN6382,Yale,non-Stem,2,18100,
134289269046000,2022-10-08,CS6332,Caltech,Stem,1,17542,93.16
134289269046048,2022-12-17,MAN4382,Yale,non-Stem,1,17384,77.88
134289269046096,2022-12-25,LAW342,Wharton,non-Stem,2,23257,
134289269046144,2022-12-30,LAW102,Wharton,non-Stem,2,23622,78.06
134289269046192,2022-02-19,CS4382,Caltech,Stem,2,18967,62.53
134289269046240,2022-12-19,LAW342,Wharton,non-Stem,5,23191,62.4
134289269046288,2022-11-10,CS4382,Caltech,Stem,2,19544,75.41
134289269046336,2022-11-10,CS6332,Caltech,Stem,2,24001,63.21
134289269046384,2022-07-28,MAN6382,Yale,non-Stem,2,21024,79.51
134289269046432,2022-12-05,MAN6382,Yale,non-Stem,4,,75.88
134289269046480,2022-12-02,CS4382,Caltech,Stem,4,17627,72.31
134289269046528,2022-05-09,MAN6382,Yale,non-Stem,2,16667,87.65
134289269046576,2022-11-18,MAN6382,Yale,non-Stem,2,16730,83.38
134289269046624,2022-05-28,CS4382,Caltech,Stem,1,18587,68.26
134289269046672,2022-08-06,CS4382,Caltech,Stem,2,20241,76.51
134289269046720,2022-12-26,CS6382,Caltech,Stem,1,27744,79.68
134289269046768,2022-05-08,CS4382,Caltech,Stem,2,20133,82.13
134289269046816,2022-11-26,MAN6382,Yale,non-Stem,2,26803,81.3
134289269046864,2022-11-01,MAN6332,Yale,non-Stem,1,25639,93.66
134289269046912,2022-11-13,CS6382,Caltech,Stem,2,21622,
134289269046960,2022-09-14,CS6332,Caltech,Stem,1,20580,67.75
134289269047008,2022-12-22,LAW342,Wharton,non-Stem,4,24840,89.2
134289269047056,2022-11-26,MAN6332,Yale,non-Stem,1,24538,
134289269047104,2022-09-21,MAN6332,Yale,non-Stem,2,24385,69.45
134289269047152,2022-07-03,MAN6382,Yale,non-Stem,2,22375,74.78
134289269047200,2022-03-07,LAW302,Wharton,non-Stem,2,25743,89.74
134289269047248,,CS6382,Caltech,Stem,1,24127,84.55
134289271201584,2022-11-25,LAW102,Wharton,non-Stem,2,25311,82.57
134289271194288,2022-12-27,MAN6332,Yale,non-Stem,3,20945,
134289271201536,2022-10-29,LAW102,Wharton,non-Stem,1,19578,82.24
134289271194912,2022-09-09,CS4382,Caltech,Stem,2,,86.8
134289271198944,,MAN6382,Yale,non-Stem,3,19356,67.04
134289271193904,2022-11-19,MAN4382,Yale,non-Stem,3,26279,72.39
134289271193760,2022-10-16,MAN4382,Yale,non-Stem,1,26046,88.1
134289271194096,2022-09-20,MAN4382,Yale,non-Stem,,24018,
134289271200576,2022-11-24,LAW102,Wharton,non-Stem,,24057,84.64
134289271199424,2022-11-20,CS6332,Caltech,Stem,2,26918,74.17
134289271201008,2022-11-26,MAN4382,Yale,non-Stem,2,,75.19
134289271200048,2022-12-03,CS4382,Caltech,Stem,3,19816,
134289271194144,2022-12-14,LAW102,Wharton,non-Stem,1,21838,92.62
134289271200624,2022-10-04,LAW342,Wharton,non-Stem,2,28493,64.08
134289271194960,2022-11-20,MAN6332,Yale,non-Stem,1,20778,88.87
134289271200096,2022-10-10,CS6382,Caltech,Stem,2,17003,78.12
134289271201488,2022-09-25,CS4382,Caltech,Stem,1,23174,77.69
134289271193856,2022-12-31,LAW102,Wharton,non-Stem,4,,93.99
134289271200912,2022-09-19,CS6382,Caltech,Stem,1,22662,95.26
134289271201248,2022-11-18,LAW342,Wharton,non-Stem,1,25229,81.45
134289271193808,2022-06-18,MAN6382,Yale,non-Stem,2,,78.75
134289271193712,2022-12-30,CS4382,Caltech,Stem,1,22184,74.6
134289271201440,,MAN4382,Yale,non-Stem,2,19577,77.04
134289271201104,2022-06-23,LAW302,Wharton,non-Stem,2,15822,66.1
134289271197456,2022-08-29,CS6382,Caltech,Stem,2,17140,60.08
134289271197504,2022-12-04,MAN4382,Yale,non-Stem,2,25969,77.76
134289271195824,2022-12-13,CS6382,Caltech,Stem,2,24349,85.28
134289271195776,2022-10-15,MAN6382,Yale,non-Stem,2,24683,85.01
134289271200288,2022-10-24,MAN4382,Yale,non-Stem,1,19741,85.79
134289271200432,2022-10-10,LAW102,Wharton,non-Stem,2,20562,76.44
134289271200192,2022-04-09,CS4382,Caltech,Stem,1,23462,88.14
134289271200240,2022-10-27,CS4382,Caltech,Stem,1,,78.42
134289271199712,2022-11-28,CS6382,Caltech,Stem,2,22542,74.23
134289271200144,2022-11-08,LAW102,Wharton,non-Stem,2,25985,77.27
134289271201152,2022-08-24,LAW302,Wharton,non-Stem,1,24846,83.34
134289271199856,2022-10-14,MAN6382,Yale,non-Stem,3,26127,90.91
134289271201200,2023-01-01,MAN6332,Yale,non-Stem,2,22693,80.36
134289271195872,2022-09-30,CS4382,Caltech,Stem,1,22361,79.26
134289271197600,2022-07-05,CS6382,Caltech,Stem,2,24360,62.48
134289271200864,2022-10-21,LAW302,Wharton,non-Stem,1,20505,88.29
134289271200528,2022-11-25,CS6332,Caltech,Stem,1,27546,84.13
134289271197696,2022-12-25,CS4382,Caltech,Stem,1,23658,91.32
134289271197648,2022-12-28,MAN6332,Yale,non-Stem,1,28069,81.78
134289271197792,2022-12-04,MAN6332,Yale,non-Stem,1,19005,93.07
134289271197888,2022-12-07,MAN6382,Yale,non-Stem,1,16974,71.86
134289271201680,2022-12-01,CS6382,Caltech,Stem,1,19391,70.05
134289271197552,2022-12-20,LAW302,Wharton,non-Stem,2,20761,69.82
134289271197744,2022-06-18,LAW102,Wharton,non-Stem,2,16342,92.13
134289271201776,2022-11-08,MAN6382,Yale,non-Stem,1,23235,76.8
134289271201872,2022-12-21,CS6382,Caltech,Stem,2,25245,75.34
134289271201920,2022-12-10,CS6382,Caltech,Stem,2,22339,89.51
134289271197840,2022-11-06,MAN6332,Yale,non-Stem,1,26293,87.77
134289271201728,2022-06-24,CS6382,Caltech,Stem,4,24564,76.83
134289271202016,2022-09-30,CS6332,Caltech,Stem,1,20116,77.85
134289271202112,2022-10-30,MAN4382,Yale,non-Stem,3,15054,70.97
134289271202160,2022-12-30,CS4382,Caltech,Stem,,24309,83.01
134289271201824,2022-07-27,CS4382,Caltech,Stem,2,20796,74.85
134289271201968,,CS6332,Caltech,Stem,3,23241,93.88
